,tweets_is_quote_status,tweets_favorite_count,tweets_user_friends_count,tweets_user_followers_count,tweets_user_favourites_count,tweets_user_geo_enabled,tweets_user_statuses_count,tweets_user_profile_use_background_image,tweets_user_has_extended_profile,tweets_user_default_profile_image,deets_possibly_sensitive,deets_reply_count,deets_like_count,deets_quote_count,users_verified,users_protected,users_followers_count,users_following_count,users_tweet_count,users_listed_count,deets_text_character_length,users_description_character_length,tweets_user_profile_background_color_F5F8FA,tweets_user_profile_background_color_C0DEED,tweets_user_profile_background_color_000000,tweets_user_profile_text_color_333333,tweets_user_profile_text_color_000000,tweets_user_profile_text_color_666666,retweet_class
5268,False,0,4014,4233,15620,True,15351,True,True,True,False,0.0,0.0,0.0,False,False,4239.0,4019.0,15365.0,40.0,149.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5269,False,0,534,9822,3024,True,341599,True,False,True,False,0.0,0.0,0.0,False,False,9823.0,534.0,341919.0,330.0,149.0,116.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5270,False,1,103,1272,27,False,5175,True,False,False,False,1.0,1.0,0.0,False,False,1272.0,103.0,5195.0,1.0,180.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5271,False,0,9,1075,2878,False,33445,False,True,False,False,0.0,0.0,0.0,False,False,1079.0,9.0,34309.0,24.0,149.0,160.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5272,False,0,4623,5109,51441,False,16698,True,False,False,False,0.0,0.0,0.0,False,False,5124.0,4706.0,16709.0,69.0,149.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5273,False,0,101,3873,168,True,18999,True,False,False,False,0.0,0.0,0.0,False,False,3873.0,101.0,19004.0,217.0,227.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5274,False,1,888,4659,890,False,5887,False,False,False,False,0.0,1.0,0.0,False,False,4661.0,889.0,5890.0,58.0,221.0,88.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5275,False,0,9,1075,2878,False,33445,False,True,False,False,0.0,0.0,0.0,False,False,1079.0,9.0,34309.0,24.0,140.0,160.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5276,False,0,8161,7430,8651,True,22594,True,False,False,False,0.0,0.0,0.0,False,False,7430.0,8162.0,22599.0,733.0,144.0,149.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5277,False,0,2756,8756,31035,True,23044,True,False,False,False,0.0,0.0,0.0,False,False,8754.0,2756.0,23044.0,1108.0,140.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
